SpeciesID,System
4,BSQ
6,BSQ
7,BSQ
8,BSQ
10,BSQ
11,BSQ
12,BSQ
14,BSQ
15,BSQ
16,BSQ
17,BSQ
18,BSQ
19,BSQ
20,BSQ
21,BSQ
24,BSQ
25,BSQ
26,BSQ
29,BSQ
34,BSQ
35,BSQ
36,BSQ
37,BSQ
38,BSQ
39,BSQ
40,BSQ
41,BSQ
42,BSQ
43,BSQ
45,BSQ
47,BSQ
48,BSQ
53,BSQ
54,BSQ
66,BSQ
75,BSQ
76,BSQ
77,BSQ
79,BSQ
82,BSQ
86,BSQ
88,BSQ
89,BSQ
90,BSQ
91,BSQ
92,BSQ
94,BSQ
96,BSQ
97,BSQ
98,BSQ
100,BSQ
101,BSQ
103,BSQ
104,BSQ
105,BSQ
107,BSQ
108,BSQ
109,BSQ
110,BSQ
111,BSQ
114,BSQ
118,BSQ
119,BSQ
121,BSQ
122,BSQ
125,BSQ
128,BSQ
130,BSQ
131,BSQ
134,BSQ
136,BSQ
137,BSQ
138,BSQ
140,BSQ
145,BSQ
146,BSQ
147,BSQ
148,BSQ
152,BSQ
153,BSQ
156,BSQ
157,BSQ
158,BSQ
160,BSQ
162,BSQ
163,BSQ
164,BSQ
165,BSQ
166,BSQ
167,BSQ
168,BSQ
169,BSQ
171,BSQ
172,BSQ
175,BSQ
176,BSQ
178,BSQ
179,BSQ
181,BSQ
185,BSQ
186,BSQ
187,BSQ
188,BSQ
189,BSQ
190,BSQ
191,BSQ
192,BSQ
193,BSQ
196,BSQ
198,BSQ
203,BSQ
206,BSQ
207,BSQ
208,BSQ
209,BSQ
211,BSQ
5,CSM
6,CSM
7,CSM
8,CSM
9,CSM
10,CSM
11,CSM
12,CSM
16,CSM
21,CSM
25,CSM
35,CSM
44,CSM
47,CSM
50,CSM
51,CSM
53,CSM
61,CSM
64,CSM
65,CSM
66,CSM
67,CSM
68,CSM
70,CSM
71,CSM
72,CSM
73,CSM
75,CSM
76,CSM
79,CSM
82,CSM
86,CSM
87,CSM
89,CSM
90,CSM
92,CSM
93,CSM
94,CSM
99,CSM
100,CSM
102,CSM
104,CSM
106,CSM
109,CSM
110,CSM
111,CSM
112,CSM
113,CSM
114,CSM
115,CSM
116,CSM
118,CSM
119,CSM
120,CSM
121,CSM
122,CSM
125,CSM
127,CSM
132,CSM
139,CSM
140,CSM
141,CSM
143,CSM
144,CSM
145,CSM
146,CSM
147,CSM
148,CSM
151,CSM
154,CSM
155,CSM
157,CSM
158,CSM
159,CSM
161,CSM
163,CSM
164,CSM
168,CSM
169,CSM
170,CSM
172,CSM
173,CSM
174,CSM
175,CSM
176,CSM
177,CSM
178,CSM
181,CSM
182,CSM
183,CSM
187,CSM
189,CSM
190,CSM
194,CSM
197,CSM
198,CSM
201,CSM
202,CSM
204,CSM
205,CSM
207,CSM
208,CSM
209,CSM
210,CSM
211,CSM
212,CSM
213,CSM
4,EPB
6,EPB
7,EPB
8,EPB
9,EPB
10,EPB
11,EPB
12,EPB
14,EPB
16,EPB
17,EPB
21,EPB
22,EPB
23,EPB
26,EPB
27,EPB
28,EPB
29,EPB
30,EPB
31,EPB
32,EPB
33,EPB
35,EPB
45,EPB
46,EPB
47,EPB
48,EPB
49,EPB
50,EPB
52,EPB
53,EPB
55,EPB
56,EPB
57,EPB
58,EPB
59,EPB
60,EPB
61,EPB
62,EPB
63,EPB
64,EPB
68,EPB
69,EPB
71,EPB
73,EPB
74,EPB
75,EPB
76,EPB
78,EPB
79,EPB
80,EPB
81,EPB
82,EPB
83,EPB
84,EPB
85,EPB
86,EPB
87,EPB
90,EPB
92,EPB
94,EPB
95,EPB
100,EPB
104,EPB
109,EPB
110,EPB
111,EPB
112,EPB
113,EPB
114,EPB
115,EPB
117,EPB
118,EPB
119,EPB
121,EPB
122,EPB
123,EPB
124,EPB
125,EPB
126,EPB
129,EPB
130,EPB
131,EPB
132,EPB
133,EPB
134,EPB
135,EPB
136,EPB
137,EPB
140,EPB
141,EPB
142,EPB
145,EPB
146,EPB
147,EPB
149,EPB
150,EPB
152,EPB
153,EPB
154,EPB
157,EPB
158,EPB
159,EPB
160,EPB
164,EPB
165,EPB
167,EPB
168,EPB
169,EPB
172,EPB
173,EPB
174,EPB
175,EPB
178,EPB
179,EPB
180,EPB
181,EPB
182,EPB
184,EPB
186,EPB
189,EPB
190,EPB
191,EPB
195,EPB
196,EPB
197,EPB
198,EPB
199,EPB
200,EPB
203,EPB
205,EPB
206,EPB
207,EPB
208,EPB
209,EPB
211,EPB
